,videoID,title,views,likes,favorites,comments,country,city,positive
89,WEKJuD9edRw,Which Country Do You LOVE The Most? | TIMOR-LESTE,11124,297,0,168,Timor-Leste,,True
90,8KDkXgvHP00,Which Country Do You LOVE The Most? | PAPUA NEW GUINEA,6036,154,0,110,Papua New Guinea,,True
91,fgM7nPRjpCA,Which Country Do You LOVE The Most? | PHILIPPINES,15087,373,0,413,Philippines,,True
92,kuDwSW8cYNc,Which Country Do You LOVE The Most? | MALAYSIA,18948,453,0,372,Malaysia,,True
93,PIN60X34D5o,Which Country Do You LOVE The Most? | THAILAND,9592,251,0,183,Thailand,,True
94,UsD9Ue-fCw8,Which Country Do You LOVE The Most? | PALAU,4868,135,0,87,Palau,,True
95,NNub4SpAMgk,Which Country Do You LOVE The Most? | BHUTAN,8013,299,0,198,Bhutan,,True
96,iWqRAm-AmYc,Which Country Do You Hate The Most? | DENMARK,272997,3731,0,1147,Denmark,,False
97,UlPwLeWhVDs,"Which Country Do You HATE The Most? | HAMBURG, GERMANY",1829507,34837,0,7903,Germany,Hamburg,False
98,rSCw2zH03kc,Which Country Do You HATE The Most? | SWEDEN,1413068,13481,0,5880,Sweden,,False
99,hwuhd8b5wFA,Which Country Do You HATE The Most? | FAROE ISLANDS,412383,4765,0,1893,Faroe Islands,,False
100,hrunWjHz2PE,"Which Country Do You HATE The Most? | DUBLIN, IRELAND",2876047,36161,0,14595,Ireland,Dublin,False
101,kKLN7_4gt38,Which Country Do You HATE The Most? | ITALY,2360997,39482,0,12471,Italy,,False
102,-atLxy7uFcc,Which Country Do You HATE The Most? | SCOTLAND,2062701,30632,0,13387,Scotland,,False
103,tgyyvsfYBao,Which Country Do You HATE The Most? | FRANCE,1842451,29190,0,10438,France,,False
104,1Acq-RpayZA,Which Country Do You HATE The Most? | PORTUGAL,1137312,16328,0,5821,Portugal,,False
105,qxtLLYUfWKE,"Which Country Do You HATE The Most? | ISTANBUL, TURKEY",2513253,43588,0,22803,Turkey,Istanbul,False
106,3UvzWoQUJvc,Which Country Do You HATE The Most? | ENGLAND,3186637,47264,0,16864,England,,False
107,8b7-57oIiA4,Which Country Do You HATE The Most? | POLAND,830503,13381,0,5191,Poland,,False
